idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
67,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
68,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
69,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
70,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
71,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
72,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
73,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
74,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
75,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
76,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
77,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
78,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,1
79,0.1079076038853493,-1.0726253024617207,0.0,0.0,0.0,16,-61.45690283,6.18265028,0
80,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
81,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
82,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
83,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
84,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
85,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
86,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
87,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
88,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
89,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
90,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
91,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
92,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,1
93,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
94,0.2534165012395847,0.6871504603757154,0.0,0.0,0.0,32,39.37082127,14.51969598,0
