idx,lat,long,sri-dir,sri-lag,sri-scale,weight,lon1,lat1,hit@1
27,0.3946957049233698,1.9965304996658744,0.0,0.0,0.0,1,114.3927713,22.61439808405,0
28,-0.3725229345406251,-0.8158136737633185,0.0,0.0,0.0,4,-46.74268037570077,-21.34399192100605,0
29,0.7592161979010633,-1.4058399202267309,0.0,0.0,0.0,3,-80.5486941,43.4998838777,0
30,0.6193146179404362,2.436807272038903,0.0,0.0,0.0,2,139.6187721746166,35.48411379874405,0
31,0.5839852736755263,0.770453928284904,0.0,0.0,0.0,1,44.1437584,33.4598914794,0
32,0.6703590850008446,-0.1515369956683728,0.0,0.0,0.0,1,-8.68243029189,38.40874632880001,1
33,0.5603700054812774,0.4178044387114787,0.0,0.0,0.0,1,23.938431000000005,32.1068362798,0
34,0.701471417381155,0.3150264645239484,0.0,0.0,0.0,3,18.04968685215,40.191351665,0
35,-0.7006353385755764,-1.2447326645362424,0.0,0.0,0.0,2,-71.3179283,-40.143447878100005,0
36,0.9408386102730594,1.5139881289858972,0.0,0.0,0.0,1,86.7451300238,53.9060815716,0
37,0.6459432525924456,2.118315956802499,0.0,0.0,0.0,1,121.370564,37.0098221785,0
38,0.842453380763914,-0.035938743321222,0.0,0.0,0.0,2,-2.05913831331,48.2690231543,0
39,0.545381990535012,2.124375854284489,0.0,0.0,0.0,1,121.71777055,31.2480862801,0
40,0.7831621744365032,-1.1089361394104529,0.0,0.0,0.0,1,-63.53736053775001,44.8718872695,0
41,-0.3902639702125781,-0.8570836674992327,0.0,0.0,0.0,3,-49.1072768373,-22.360478389200004,0
42,-0.6041252160749362,-1.018893631454565,0.0,0.0,0.0,1,-58.37830485510449,-34.61382517852276,0
43,0.5902128699467061,0.0500585295701425,0.0,0.0,0.0,4,2.868142473,33.81670646225,0
44,0.2770701502451028,-1.6945727455864537,0.0,0.0,0.0,1,-97.0918664,15.8749502381,0
45,0.9006320225875911,0.3661654802114997,0.0,0.0,0.0,1,20.9797366195,51.6024137886,0
46,0.7661732662137299,0.0838930699087964,0.0,0.0,0.0,4,4.80671883617,43.8984945298,0
47,0.7182324496327667,0.2909102134650986,0.0,0.0,0.0,3,16.667927448800004,41.1516880733,0
48,-0.7179614297499416,-1.244421833613767,0.0,0.0,0.0,2,-71.300119,-41.13615977785,0
49,0.5849976160521017,-1.5159610406062756,0.0,0.0,0.0,1,-86.858169533,33.51789442500001,0
50,0.6119106592836151,0.6404680820894846,0.0,0.0,0.0,2,36.69611801656582,35.05989821601885,0
51,0.2558257060064129,-1.5777329299513858,0.0,0.0,0.0,1,-90.39743808502396,14.657733245122056,0
52,0.7705903899539213,-1.3361523894184917,0.0,0.0,0.0,3,-76.5558927,44.1515770777,0
53,0.7391182275551484,-1.54314217854235,0.0,0.0,0.0,2,-88.4155340191,42.34835500009999,0
54,0.6514430815497956,-2.102144440534212,0.0,0.0,0.0,1,-120.44400436949998,37.3249391658,0
55,0.88859667956215,-1.9898778866245768,0.0,0.0,0.0,1,-114.01160465000002,50.91283942825001,0
56,-0.457570780382941,0.5031164562726312,0.0,0.0,0.0,1,28.826449548,-26.21687454445,0
57,0.8870015489813863,0.6486786621257815,0.0,0.0,0.0,1,37.1665496,50.8214451782,0
58,1.0037881263822952,0.7193503222639501,0.0,0.0,0.0,1,41.2157374571,57.51282316705,0
59,0.6030866032664801,0.6565641451027054,0.0,0.0,0.0,2,37.618354494,34.55431704805,1
60,0.7900302276010499,0.1445580374472232,0.0,0.0,0.0,4,8.28256544042,45.2653977293,0
61,0.7802014130079714,-0.0136865231056582,0.0,0.0,0.0,2,-0.7841800101625,44.70224813550001,0
62,0.6370069362834391,0.068723176182653,0.0,0.0,0.0,4,3.93754795,36.4978089696,0
63,0.2503678730102835,2.110451390722923,0.0,0.0,0.0,1,120.91995755593857,14.345022449156604,0
64,0.8527528047112791,0.160512068744961,0.0,0.0,0.0,1,9.1966641,48.8591366779,0
65,0.6194159115235809,2.437271666486618,0.0,0.0,0.0,2,139.64538001649998,35.48991749355,0
66,0.6880579890277714,0.1673097551293669,0.0,0.0,0.0,1,9.58614284028,39.42281883155,0
67,0.9547234714922724,0.3619462978687048,0.0,0.0,0.0,1,20.737995278261728,54.70162551858577,0
68,0.7632382122982562,-1.3844260393060623,0.0,0.0,0.0,3,-79.32176910025,43.7303283278,0
