index,hit@1,hit@3,lon,lat
345,-1,1,-54.46875572,5.011070167
346,1,1,-54.46875572,5.011070167
347,-1,1,-54.46875572,5.011070167
348,1,1,-54.46875572,5.011070167
349,-1,-1,-54.46875572,5.011070167
350,-1,-1,-54.46875572,5.011070167
351,1,1,-54.46875572,5.011070167
352,1,1,-54.45449767,5.011070167
353,1,1,-54.45449767,5.011070167
354,-1,-1,-54.45449767,5.011070167
355,-1,-1,-54.45449767,5.011070167
356,1,1,-54.45449767,5.011070167
357,-1,-1,-54.45449767,5.011070167
358,-1,-1,-54.45449767,5.011070167
359,1,1,-54.45449767,5.011070167
360,-1,-1,-54.45449767,5.011070167
361,-1,-1,-54.45449767,5.011070167
362,1,1,-54.45449767,5.011070167
363,-1,-1,-54.45449767,5.011070167
364,-1,-1,-54.45449767,5.011070167
365,1,1,-54.45449767,5.011070167
366,-1,-1,-54.45449767,5.011070167
367,-1,-1,-54.45449767,5.011070167
368,-1,-1,-70.42854309,-12.67958713
369,-1,1,-70.42854309,-12.67958713
370,1,1,-70.42854309,-12.67958713
371,1,1,-70.42854309,-12.67958713
372,1,1,-70.42854309,-12.67958713
373,-1,-1,-70.42854309,-12.67958713
374,1,1,-70.42854309,-12.67958713
375,-1,-1,-70.42854309,-12.67958713
376,-1,-1,-70.42854309,-12.67958713
377,1,1,-70.42854309,-12.67958713
378,1,1,-70.42854309,-12.67958713
379,-1,-1,-70.42854309,-12.67958713
380,1,1,-70.42854309,-12.67958713
381,1,1,-70.42854309,-12.67958713
382,-1,1,-70.42854309,-12.67958713
383,1,1,-70.42854309,-12.67958713
384,-1,-1,-54.63397171,4.92900197
385,-1,1,-54.63397171,4.92900197
386,1,1,-54.63397171,4.92900197
387,1,1,-54.63397171,4.92900197
388,1,1,-54.63397171,4.92900197
389,-1,-1,-54.63397171,4.92900197
390,1,1,-54.63397171,4.92900197
391,-1,-1,-54.63397171,4.92900197
392,-1,-1,-54.63397171,4.92900197
393,1,1,-54.63397171,4.92900197
394,-1,-1,-54.63397171,4.92900197
395,-1,-1,-54.63397171,4.92900197
396,-1,-1,-54.63397171,4.92900197
397,1,1,-54.63397171,4.92900197
398,-1,1,-54.63397171,4.92900197
399,1,1,-54.63397171,4.92900197
400,1,1,-54.63390213,4.918551781
401,1,1,-54.63390213,4.918551781
402,-1,-1,-54.63390213,4.918551781
403,-1,-1,-54.63390213,4.918551781
404,-1,-1,-54.63390213,4.918551781
405,-1,1,-54.63390213,4.918551781
406,-1,1,-54.63390213,4.918551781
407,1,1,-54.63390213,4.918551781
408,-1,-1,-54.63390213,4.918551781
409,-1,-1,-54.63390213,4.918551781
410,-1,-1,-54.63390213,4.918551781
411,-1,-1,-54.63390213,4.918551781
412,-1,-1,-54.63390213,4.918551781
413,1,1,-54.63390213,4.918551781
414,-1,-1,-54.63390213,4.918551781
415,1,1,-54.63390213,4.918551781
416,-1,1,-54.63390213,4.932850057
417,1,1,-54.63390213,4.932850057
418,-1,-1,-54.63390213,4.932850057
419,-1,1,-54.63390213,4.932850057
420,-1,1,-54.63390213,4.932850057
421,1,1,-54.63390213,4.932850057
422,1,1,-54.63390213,4.932850057
423,1,1,-54.63390213,4.932850057
424,-1,-1,-54.63390213,4.932850057
425,1,1,-54.63390213,4.932850057
426,1,1,-54.63390213,4.932850057
427,1,1,-54.63390213,4.932850057
428,1,1,-54.63390213,4.932850057
429,-1,-1,-54.63390213,4.932850057
430,1,1,-54.63390213,4.932850057
431,1,1,-54.63390213,4.932850057
432,-1,-1,-54.63390213,4.947148332
433,1,1,-54.63390213,4.947148332
434,-1,1,-54.63390213,4.947148332
435,1,1,-54.63390213,4.947148332
436,-1,1,-54.63390213,4.947148332
437,1,1,-54.63390213,4.947148332
438,-1,-1,-54.63390213,4.947148332
439,-1,1,-54.63390213,4.947148332
440,-1,-1,-54.63390213,4.947148332
441,1,1,-54.63390213,4.947148332
442,-1,-1,-54.63390213,4.947148332
443,-1,-1,-54.63390213,4.947148332
444,1,1,-54.63390213,4.947148332
445,-1,-1,-54.63390213,4.947148332
446,-1,1,-54.63390213,4.947148332
447,-1,-1,-54.63390213,4.947148332
448,-1,1,-54.61964607,4.947148332
449,-1,1,-54.61964607,4.947148332
450,1,1,-54.61964607,4.947148332
451,-1,-1,-54.61964607,4.947148332
452,-1,1,-54.61964607,4.947148332
453,-1,1,-54.61964607,4.947148332
454,1,1,-54.61964607,4.947148332
455,-1,-1,-54.61964607,4.947148332
456,1,1,-54.61964607,4.947148332
457,-1,-1,-54.61964607,4.947148332
458,-1,-1,-54.61964607,4.947148332
459,1,1,-54.61964607,4.947148332
460,-1,-1,-54.61964607,4.947148332
461,-1,1,-54.61964607,4.947148332
462,1,1,-54.61964607,4.947148332
463,-1,-1,-54.61964607,4.947148332
464,-1,-1,-54.4655918,5.100861174
465,1,1,-54.4655918,5.100861174
466,-1,-1,-54.4655918,5.100861174
467,1,1,-54.4655918,5.100861174
468,-1,1,-54.4655918,5.100861174
469,1,1,-54.4655918,5.100861174
470,-1,-1,-54.4655918,5.100861174
471,-1,1,-54.4655918,5.100861174
472,1,1,-54.4655918,5.100861174
473,1,1,-54.4655918,5.100861174
474,-1,-1,-54.4655918,5.100861174
475,1,1,-54.4655918,5.100861174
476,-1,-1,-54.4655918,5.100861174
477,-1,-1,-54.4655918,5.100861174
478,1,1,-54.4655918,5.100861174
479,-1,1,-54.4655918,5.100861174
480,1,1,-54.45133209,5.115159376
481,-1,1,-54.45133209,5.115159376
482,1,1,-54.45133209,5.115159376
483,1,1,-54.45133209,5.115159376
484,-1,-1,-54.45133209,5.115159376
485,-1,1,-54.45133209,5.115159376
486,-1,-1,-54.45133209,5.115159376
487,1,1,-54.45133209,5.115159376
488,1,1,-54.45133209,5.115159376
489,-1,-1,-54.45133209,5.115159376
490,1,1,-54.45133209,5.115159376
491,1,1,-54.45133209,5.115159376
492,-1,-1,-54.45133209,5.115159376
493,1,1,-54.45133209,5.115159376
494,-1,-1,-54.45133209,5.115159376
495,1,1,-54.45133209,5.115159376
496,1,1,-55.55624068,5.009744903
497,1,1,-55.55624068,5.009744903
498,-1,-1,-55.55624068,5.009744903
499,-1,1,-55.55624068,5.009744903
500,-1,-1,-55.55624068,5.009744903
501,-1,-1,-55.55624068,5.009744903
502,1,1,-55.55624068,5.009744903
503,-1,-1,-55.55624068,5.009744903
504,1,1,-55.55624068,5.009744903
505,-1,1,-55.55624068,5.009744903
506,-1,1,-55.55624068,5.009744903
507,1,1,-55.55624068,5.009744903
508,1,1,-55.55624068,5.009744903
509,1,1,-55.55624068,5.009744903
510,-1,1,-55.55624068,5.009744903
511,-1,-1,-55.55624068,5.009744903
512,-1,1,-70.51044069,-13.00866345
513,-1,-1,-70.51044069,-13.00866345
514,-1,-1,-70.51044069,-13.00866345
515,-1,-1,-70.51044069,-13.00866345
516,-1,1,-70.51044069,-13.00866345
517,-1,1,-70.51044069,-13.00866345
518,-1,1,-70.51044069,-13.00866345
519,1,1,-70.51044069,-13.00866345
520,1,1,-70.51044069,-13.00866345
521,-1,-1,-70.51044069,-13.00866345
522,1,1,-70.51044069,-13.00866345
523,-1,1,-70.51044069,-13.00866345
524,-1,1,-70.51044069,-13.00866345
525,1,1,-70.51044069,-13.00866345
526,1,1,-70.51044069,-13.00866345
527,1,1,-70.51044069,-13.00866345
528,-1,-1,-54.93823933,5.029643426
529,1,1,-54.93823933,5.029643426
530,1,1,-54.93823933,5.029643426
531,1,1,-54.93823933,5.029643426
532,-1,-1,-54.93823933,5.029643426
533,-1,1,-54.93823933,5.029643426
534,-1,1,-54.93823933,5.029643426
535,1,1,-54.93823933,5.029643426
536,1,1,-54.93823933,5.029643426
537,-1,-1,-54.93823933,5.029643426
538,-1,-1,-54.93823933,5.029643426
539,-1,1,-54.93823933,5.029643426
540,1,1,-54.93823933,5.029643426
541,-1,-1,-54.93823933,5.029643426
542,-1,-1,-54.93823933,5.029643426
543,1,1,-54.93823933,5.029643426
544,1,1,-54.60069895,5.121634618
545,1,1,-54.60069895,5.121634618
546,-1,-1,-54.60069895,5.121634618
547,1,1,-54.60069895,5.121634618
548,-1,-1,-54.60069895,5.121634618
549,1,1,-54.60069895,5.121634618
550,-1,1,-54.60069895,5.121634618
551,-1,-1,-54.60069895,5.121634618
552,-1,-1,-54.60069895,5.121634618
553,1,1,-54.60069895,5.121634618
554,1,1,-54.60069895,5.121634618
555,-1,-1,-54.60069895,5.121634618
556,-1,1,-54.60069895,5.121634618
557,-1,-1,-54.60069895,5.121634618
558,-1,-1,-54.60069895,5.121634618
559,-1,-1,-54.60069895,5.121634618
560,-1,-1,-54.65269089,4.950807498
561,1,1,-54.65269089,4.950807498
562,1,1,-54.65269089,4.950807498
563,-1,-1,-54.65269089,4.950807498
564,1,1,-54.65269089,4.950807498
565,1,1,-54.65269089,4.950807498
566,1,1,-54.65269089,4.950807498
567,-1,-1,-54.65269089,4.950807498
568,1,1,-54.65269089,4.950807498
569,-1,-1,-54.65269089,4.950807498
570,-1,-1,-54.65269089,4.950807498
571,-1,-1,-54.65269089,4.950807498
572,1,1,-54.65269089,4.950807498
573,1,1,-54.65269089,4.950807498
574,-1,-1,-54.65269089,4.950807498
575,1,1,-54.65269089,4.950807498
576,-1,-1,-55.00900722,5.10919637
